Duration,ID,Consent,Gender,Age,Residency,Ethnicity,Sexuality,Vic_known,False_acc,Verdict,Likert_verdict,Confidence,Sentence,Credibility,Responsibility,Empathy,SA1,SA2,SA3,SA4,SA5,SA6,MT1,MT2,MT3,F1,MT4,MT5,MT6,NR1,NR2,NR3,NR4,NR5,F2,LI1,LI2,LI3,LI4,LI5,LI6,Condition
426,5d4889c6643eb80001fb3f5f,1,2,37,37,1,1,1,1,1,7,85,10,7,1,5,1,1,1,1,1,3,4,1,4,6,1,1,1,1,1,1,1,6,7,2,3,2,1,2,1,Vignette(low)
506,6031c10910c7c117d7fd869f,1,2,27,27,1,1,3,1,0,4,50,0,4,6,3,2,1,1,1,3,1,2,1,1,7,1,1,1,1,1,1,1,1,3,4,4,4,4,4,1,Vignette(low)
842,59d3ef2c078dbe000195117f,1,2,46,20,1,1,1,1,0,2,80,0,5,3,4,1,1,1,1,1,6,1,5,1,6,1,1,1,5,4,1,1,6,7,2,4,2,1,1,1,Vignette(high)
545,59b577e309494b0001313c6f,1,1,65,65,1,1,1,1,1,6,80,3,6,4,4,5,1,2,2,1,1,1,1,1,7,1,1,1,1,1,1,1,1,6,1,1,2,2,2,1,Vignette(high)
668,5d51cbfb2668200001feae69,1,2,34,34,1,1,1,1,1,6,90,4,7,2,5,1,1,1,1,1,4,5,1,2,6,1,1,1,1,1,2,1,3,7,1,1,1,1,1,1,Vignette(low)
777,5e41723aade7c2000b4c14f8,1,1,34,34,1,1,1,1,0,6,50,0,7,1,5,1,1,1,1,1,2,6,1,1,7,1,1,1,1,1,1,1,1,7,1,1,2,1,3,1,Vignette(high)
425,5e66a61aed17a90318af3adb,1,1,35,35,1,1,1,1,0,3,70,0,6,5,2,1,1,1,1,1,5,2,2,1,5,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,Vignette(high)
770,5b101257d282ff00015bdadb,1,2,54,54,1,1,1,1,0,3,60,0,5,4,3,1,1,1,4,1,2,4,4,1,7,2,1,4,1,1,1,1,4,7,1,1,1,1,1,1,Vignette(low)
634,5bad01517e61b90001d36181,1,1,44,44,1,1,1,2,0,2,60,0,5,5,4,3,1,1,2,2,5,6,5,5,7,5,1,4,1,1,1,1,5,7,4,5,5,4,5,4,Vignette(high)
1275,5e5fc1d84985132fcea17f1a,1,1,20,20,1,2,2,2,0,5,10,0,4,4,3,3,1,1,4,4,5,5,2,2,7,1,1,1,1,2,1,4,4,4,4,4,4,4,4,1,Vignette(high)
827,5e933bbce6812e6768a81eb9,1,1,25,25,1,1,1,1,1,6,79,10,6,5,4,5,6,2,5,1,5,5,6,7,7,4,6,5,4,4,2,1,3,7,3,5,5,2,3,1,Vignette(high)
1121,5f590f0a7fa1480fc4892c34,1,2,52,52,1,1,1,1,1,6,71,1,6,5,3,1,1,1,1,6,4,7,6,7,7,4,1,1,1,1,1,1,1,7,4,5,5,1,2,4,Vignette(high)
630,5d7874252f037f0016637125,1,2,72,72,1,1,1,2,0,5,90,0,5,6,3,1,1,1,1,2,6,2,4,2,4,1,1,1,1,1,1,1,5,7,2,2,2,1,2,3,Vignette(high)
715,5e1b2dea8b90cb3502480bc9,1,2,33,33,1,1,1,1,1,7,82,8,7,1,5,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,Vignette(low)
1001,5f6f4710cd11204b5eaee616,1,2,52,52,1,1,1,1,1,7,100,7,7,3,5,1,1,1,7,7,6,1,2,1,1,3,6,4,1,4,1,1,4,1,4,4,2,1,4,1,Vignette(high)
582,5bd30d709afb5b00015bff4f,1,1,20,20,3,2,1,1,1,6,80,8,6,2,2,1,1,1,3,3,2,6,4,6,6,3,1,1,1,1,1,1,1,6,2,2,1,2,1,1,Vignette(low)
735,5e8d8435bfdc8700083fb7ba,1,1,53,53,1,1,1,1,0,4,50,0,5,4,3,1,1,1,5,4,4,1,4,1,7,3,1,1,1,1,1,1,2,7,5,4,4,4,4,4,Vignette(low)
612,5ea03a3b7f57130564707c64,1,2,27,27,1,1,0,1,1,6,80,5,6,4,4,1,1,1,1,1,1,4,1,4,7,4,1,1,1,1,1,1,1,6,4,1,1,1,1,1,Vignette(high)
540,5d31c201c88f0e001a4c3cb3,1,1,59,59,1,1,1,1,1,6,75,2,6,5,4,1,1,1,1,1,5,2,4,2,4,1,1,1,1,1,1,1,1,7,3,2,2,1,5,2,Vignette(high)
767,5f4147a3be49c22cc1e45540,1,1,24,24,1,2,2,1,1,6,80,5,6,1,5,1,1,1,1,1,1,2,1,1,7,6,1,1,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(low)
720,5c58a9908f34eb0001574867,1,1,36,16,1,1,1,1,1,6,80,3,6,7,3,2,1,1,1,1,1,1,1,1,7,1,1,2,1,1,1,1,1,7,4,7,6,1,1,1,Vignette(low)
941,5e63adfb9ab3e612a6913e14,1,1,42,42,1,1,1,1,1,7,85,3,7,2,5,1,1,1,1,1,2,1,1,1,7,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(low)
651,5ced66139b5b490001b688ed,1,2,45,45,1,1,2,1,0,5,30,1,5,4,3,5,1,1,1,1,1,1,1,1,5,5,4,2,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(high)
505,5db09b3a9611830016dd495b,1,5,34,34,1,4,3,1,1,6,85,10,6,1,5,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,7,2,1,1,1,1,1,Vignette(high)
720,5fa8603ba9a9c56e60b79ad2,1,1,35,35,1,1,1,1,1,7,90,2,7,1,5,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,4,7,1,1,1,1,1,1,Vignette(high)
560,5fb283bb2be93b86a58a55b8,1,1,29,29,1,1,1,1,1,6,50,5,6,5,4,3,1,3,1,1,3,1,1,1,7,1,1,1,1,1,1,1,1,7,2,3,2,1,1,1,Vignette(low)
550,5bcdcec677740000016ad642,1,1,48,48,1,1,2,2,1,5,35,2,6,2,3,1,1,1,1,2,4,4,2,4,7,4,2,2,2,1,2,1,1,7,2,5,2,1,2,1,Vignette(high)
892,5eacbac605ff78342ea4d826,1,2,25,18,13,1,1,1,1,7,99,10,6,1,4,1,1,1,1,1,1,1,2,1,7,1,1,1,1,1,1,1,1,7,3,5,4,4,4,1,Vignette(low)
406,5b17e84168a5ed00017337bf,1,1,23,23,1,1,1,1,1,7,90,10,7,1,5,1,1,1,1,1,1,3,2,2,7,2,1,1,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(low)
657,5c922b55cae9fe0017e7dd1a,1,2,48,48,1,1,1,1,0,4,71,0,4,6,3,1,1,1,1,1,5,2,5,2,6,1,1,1,3,1,1,1,1,6,4,4,2,1,1,1,Vignette(high)
650,5e5a10ea43f33020b7e24fe0,1,2,37,37,1,1,3,1,1,6,90,3,7,5,5,5,1,1,1,1,1,4,6,4,6,3,1,1,1,1,1,1,3,6,1,1,1,1,2,1,Vignette(high)
838,5f6412250587d9196a3a1573,1,2,23,23,5,1,3,1,1,6,95,4,6,1,5,1,1,1,1,1,1,1,1,1,6,1,1,4,1,1,1,1,2,7,1,1,1,1,1,1,Vignette(high)
375,60523aeabf16c15efe045f07,1,1,20,20,7,1,2,1,1,6,89,5,6,1,5,1,1,1,1,1,1,4,5,3,7,2,2,1,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(low)
1239,5c5065d7c150bc0001ff28a0,1,2,46,46,1,1,1,1,1,6,70,1,6,1,4,1,1,1,1,1,3,6,1,2,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,Vignette(high)
473,5c18c9b116e70d0001935e4c,1,2,27,27,1,1,1,1,1,6,80,10,6,1,4,1,1,1,1,1,2,7,1,2,7,1,1,1,1,1,1,1,1,7,1,4,1,1,1,1,Vignette(low)
1138,5d970570524a350017e95a2e,1,2,59,15,1,1,2,1,1,7,97,5,7,1,4,1,1,1,1,1,2,1,1,1,7,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,Vignette(high)
